id,2024-02-29,2024-03-01,2024-03-02
MLA1182936617,2716.93,2716.93,2716.93
MLA1288657731,4497.0,4497.0,4497.0
MLA1103782001,5129.05,5129.05,5129.05
MLA1160222629,5747.0,5747.0,5747.0
MLA1345722635,2247.0,2247.0,2247.0
MLA1394106021,10846.23,10846.23,10846.23
MLA1184125275,2320.0,1657.0,1657.0
MLA1277060922,799.0,799.0,799.0
MLA885377569,3631.52,3631.52,3631.52
MLA1286444303,2799.0,2799.0,2799.0
MLA1231307895,74405.0,84232.08,84232.08
MLA882752593,1997.0,1997.0,1997.0
MLA1401090493,1900.0,1900.0,1900.0
MLA1223552744,6390.0,6390.0,6390.0
MLA1432383354,997.0,997.0,997.0
MLA1330211904,7112.0,7112.0,7112.0
MLA885379291,3634.26,3634.26,3634.26
MLA882753949,2077.0,2077.0,2077.0
MLA1318630677,2537.34,2537.34,2537.34
MLA1182473021,2716.93,2716.93,2716.93
MLA1513345808,2122.31,2122.31,2122.31
MLA1355675779,6499.0,6499.0,6499.0
MLA1375416418,1699.0,1699.0,1699.0
MLA1296912844,2499.0,2499.0,2499.0
MLA1484848762,2128.38,2128.38,2128.38
MLA1388702433,21980.0,21980.0,21980.0
MLA1296912057,5499.0,5499.0,5499.0
MLA1484801650,2275.0,2275.0,2275.0
MLA1369827301,1699.0,1699.0,1699.0
MLA1297162446,4999.0,4999.0,4999.0
MLA1296996275,2499.0,2499.0,2499.0
MLA1375416666,1499.0,1499.0,1499.0
MLA1100292704,4799.0,4799.0,4799.0
MLA1296950466,2299.0,2299.0,2299.0
MLA1297047145,4999.0,4999.0,4999.0
MLA1364085025,5499.0,5499.0,5499.0
MLA1150228608,6998.0,6998.0,6998.0
MLA1347142868,1279.37,1279.37,1279.37
MLA1355931101,4499.0,4499.0,4499.0
MLA1249333850,2099.0,2099.0,2099.0
MLA603562098,26023.3,29900.0,29900.0
MLA1594828866,6497.0,6497.0,6497.0
MLA1600759654,6350.0,6350.0,6350.0
MLA903713362,12997.0,12997.0,12997.0
MLA1397936406,8698.0,8698.0,8698.0
MLA1146211562,5150.0,5150.0,5150.0
MLA609854041,20000.0,20000.0,20000.0
MLA714576199,27000.0,27000.0,27000.0
MLA633171244,28400.0,28400.0,28400.0
MLA1594881544,6869.92,7497.0,7497.0
MLA1221176520,5150.0,5150.0,5150.0
MLA1410477585,72000.0,72000.0,72000.0
MLA1305902148,8000.0,8000.0,8000.0
MLA1262534703,32998.0,32998.0,32998.0
MLA613079634,16130.0,16130.0,16130.0
MLA605146265,72335.97,79000.0,79000.0
MLA653784498,18500.0,18500.0,18500.0
MLA835602278,89000.0,89000.0,89000.0
MLA1599508328,6000.0,6000.0,6000.0
MLA654185038,27000.0,27000.0,27000.0
